RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
137,Zambia,3760,3902,3618,1135,"0,930","0,577","0,306","0,525","0,203","0,083"
138,Malawi,3750,3941,3560,1661,"0,648","0,279","0,388","0,477","0,140","0,157"
139,Tanzania,3702,3847,3558,"0,735","0,848","0,597","0,425","0,578","0,248","0,270"
140,Sierra Leone,3574,3732,3416,1556,"0,686","0,416","0,273","0,387","0,202","0,055"
141,Lesotho*,3512,3748,3276,1312,"0,839","0,848","0,000","0,419","0,076","0,018"
142,Botswana*,3471,3667,3275,"0,187",1503,"0,815","0,280","0,571","0,012","0,102"
143,Rwanda*,3268,3462,3074,"0,536","0,785","0,133","0,462","0,621","0,187","0,544"
144,Zimbabwe,2995,3110,2880,"0,548","0,947","0,690","0,270","0,329","0,106","0,105"
145,Lebanon,2955,3049,2862,"0,216",1392,"0,498","0,631","0,103","0,082","0,034"
146,Afghanistan,2404,2469,2339,1263,"0,758","0,000","0,289","0,000","0,089","0,005"
147,xx,,,,,,,,,,
